month,year,precipitation,min_temp,max_temp,mean_temp
July,1948,0.21419354838709675,74.19354838709677,89.90322580645162,82.04838709677419
July,1949,0.12774193548387097,75.16129032258064,89.35483870967742,82.25806451612904
July,1950,0.257741935483871,74.25806451612904,88.45161290322581,81.35483870967742
July,1951,0.2787096774193549,74.3225806451613,89.25806451612904,81.79032258064517
July,1952,0.23032258064516128,76.19354838709677,90.64516129032258,83.41935483870968
July,1953,0.21483870967741933,74.96774193548387,89.93548387096774,82.45161290322581
July,1954,0.2970967741935484,76.12903225806451,89.70967741935483,82.91935483870968
July,1955,0.25451612903225806,74.38709677419355,87.61290322580645,81.0
July,1956,0.07548387096774194,75.74193548387096,89.6774193548387,82.70967741935483
July,1957,0.30774193548387097,74.2258064516129,89.12903225806451,81.6774193548387
July,1958,0.21225806451612902,76.58064516129032,88.3225806451613,82.45161290322581
July,1959,0.264516129032258,74.45161290322581,86.83870967741936,80.64516129032258
July,1960,0.17,77.09677419354838,90.29032258064517,83.69354838709677
July,1961,0.06161290322580645,77.74193548387096,89.3225806451613,83.53225806451613
July,1962,0.12064516129032257,76.41935483870968,90.2258064516129,83.3225806451613
July,1963,0.05709677419354839,76.25806451612904,89.96774193548387,83.11290322580645
July,1964,0.17774193548387096,76.90322580645162,88.6774193548387,82.79032258064517
July,1965,0.21161290322580645,74.25806451612904,88.29032258064517,81.2741935483871
July,1966,0.27419354838709675,74.74193548387096,87.35483870967742,81.04838709677419
July,1967,0.17903225806451611,76.38709677419355,88.29032258064517,82.33870967741936
July,1968,0.19838709677419356,76.06451612903226,87.06451612903226,81.56451612903226
July,1969,0.2735483870967742,77.41935483870968,90.6774193548387,84.04838709677419
July,1970,0.14451612903225808,77.19354838709677,88.16129032258064,82.6774193548387
July,1971,0.15225806451612903,77.0,88.38709677419355,82.69354838709677
July,1972,0.23000000000000004,75.19354838709677,86.64516129032258,80.91935483870968
July,1973,0.19806451612903225,75.90322580645162,87.70967741935483,81.80645161290323
July,1974,0.1964516129032258,76.41935483870968,88.7741935483871,82.59677419354838
July,1975,0.16096774193548388,75.61290322580645,86.61290322580645,81.11290322580645
July,1976,0.1235483870967742,77.74193548387096,88.51612903225806,83.12903225806451
July,1977,0.16870967741935486,78.7741935483871,88.48387096774194,83.62903225806451
July,1978,0.0867741935483871,77.16129032258064,87.6774193548387,82.41935483870968
July,1979,0.1632258064516129,77.41935483870968,88.90322580645162,83.16129032258064
July,1980,0.3032258064516129,76.03225806451613,89.12903225806451,82.58064516129032
July,1981,0.08967741935483872,77.25806451612904,92.58064516129032,84.91935483870968
July,1982,0.12387096774193548,77.70967741935483,90.87096774193549,84.29032258064517
July,1983,0.2,78.19354838709677,91.83870967741936,85.01612903225806
July,1984,0.23806451612903226,75.29032258064517,88.45161290322581,81.87096774193549
July,1985,0.362258064516129,73.51612903225806,88.48387096774194,81.0
July,1986,0.2519354838709677,75.48387096774194,90.58064516129032,83.03225806451613
July,1987,0.1667741935483871,77.61290322580645,90.7741935483871,84.19354838709677
July,1988,0.35161290322580646,76.09677419354838,90.12903225806451,83.11290322580645
July,1989,0.11387096774193549,76.48387096774194,90.09677419354838,83.29032258064517
July,1990,0.1390322580645161,75.70967741935483,91.2258064516129,83.46774193548387
July,1991,0.23516129032258065,76.54838709677419,90.54838709677419,83.54838709677419
July,1992,0.13580645161290322,78.2258064516129,91.54838709677419,84.88709677419355
July,1993,0.23483870967741935,77.25806451612904,91.7741935483871,84.51612903225806
July,1994,0.09774193548387097,77.54838709677419,89.80645161290323,83.6774193548387
July,1995,0.20516129032258063,77.96774193548387,91.0,84.48387096774194
July,1996,0.1693548387096774,78.45161290322581,90.48387096774194,84.46774193548387
July,1997,0.24580645161290324,77.45161290322581,90.70967741935483,84.08064516129032
July,1998,0.17451612903225808,77.90322580645162,91.70967741935483,84.80645161290323
July,1999,0.11612903225806452,77.70967741935483,90.2258064516129,83.96774193548387
July,2000,0.1706451612903226,76.83870967741936,90.7741935483871,83.80645161290323
July,2001,0.2232258064516129,75.70967741935483,89.35483870967742,82.53225806451613
July,2002,0.41161290322580646,76.6774193548387,89.29032258064517,82.98387096774194
July,2003,0.2038709677419355,78.6774193548387,90.25806451612904,84.46774193548387
July,2004,0.2174193548387097,77.38709677419355,91.29032258064517,84.33870967741936
July,2005,0.16129032258064516,78.83870967741936,91.45161290322581,85.14516129032258
July,2006,0.23612903225806453,76.90322580645162,89.03225806451613,82.96774193548387
July,2007,0.29129032258064513,76.96774193548387,90.83870967741936,83.90322580645162
July,2008,0.2880645161290322,75.96774193548387,89.80645161290323,82.88709677419355
July,2009,0.19903225806451613,77.87096774193549,92.0,84.93548387096774
July,2010,0.23741935483870968,78.58064516129032,91.2258064516129,84.90322580645162
July,2011,0.18419354838709678,78.2258064516129,91.19354838709677,84.70967741935483
July,2012,0.28774193548387095,76.83870967741936,89.93548387096774,83.38709677419355
July,2013,0.40967741935483876,76.25806451612904,88.58064516129032,82.41935483870968
July,2014,0.3319354838709677,77.09677419354838,90.64516129032258,83.87096774193549
July,2015,0.19064645161290325,77.70967741935483,91.48387096774194,84.59677419354838
July,2016,0.13258290322580646,78.25806451612904,91.16129032258064,84.70967741935483
July,2017,0.40161548387096774,79.58064516129032,91.87096774193549,85.7258064516129
July,2018,0.25871096774193547,76.41935483870968,90.87096774193549,83.64516129032258
July,2019,0.3400016129032258,78.03225806451613,92.09677419354838,85.06451612903226
July,2020,0.33096935483870965,78.87096774193549,92.96774193548387,85.91935483870968
July,2021,0.265136,79.104673,93.184532,86.144603
